Id,citation,female,age,N,Mean_CU,N_CU,SD_CU,Mean_ctrl,N_ctrl,SD_ctrl,R,Outcome,Eff,Eff_var,Age_CU,Age_CU_sd,female_CU,Age_ctrl,Age_ctrl_SD,female_ctrl,CU_resp,Out_resp,Samp_typ,age_SD,d,CU_resp.R,Out_resp.R,Same_diff,Same_diff.R,Samp_typ.R,CU_Rel,Out_Rel,
1,Aitken et al. (2018) ,33,9.25,304,1.82,NA,2.05,NA,NA,NA,-0.45,prosocial,-0.484700279,0.003322259,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,other,other,0,same,referred/Clinical,0.77,0.71,
2,Anastassiou-H. & Warden (2008),4.55,9.355,66,10.7,33,2.81,12.88,33,2.88,-0.357745464,empathy_tot,-0.374298079,0.015873016,9.4,1.17,3,9.31,0.77,6.1,1,0,1,NA,-0.766198612,Other,Self,1,Different,Referred/Clinical,0.76,0.62,
3,Andrade & Wade (2016),21.6,8.8,208,NA,NA,NA,NA,NA,NA,-0.53,prosocial,-0.59014516,0.004878049,NA,NA,NA,NA,NA,NA,1,1,1,1.75,NA,Other,Other,0,Same,Referred/Clinical,0.83,0.82,
4,Antoniadou et al. (2016),43,14.5,146,NA,NA,NA,NA,NA,NA,0.29,empathy_aff,0.298566264,0.006993007,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.81,0.82,
4,Antoniadou et al. (2016),43,14.5,146,NA,NA,NA,NA,NA,NA,0.22,empathy_cog,0.223656109,0.006993007,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.8,0.8,
5,Brouns et al. (2013),0,16.61,107,11.88,16,3.52,13.9,91,3.09,-0.222593009,empathy_cog,-0.226382644,0.009615385,NA,NA,0,NA,NA,0,1,0,0,0.38,-0.640249776,Other,Self,1,Different,Community/Non-clincal,0.76,0.7,
5,Brouns et al. (2013),100,16.77,126,15.61,23,3.19,14.03,103,2.98,0.198198768,empathy_aff,0.200856972,0.008130081,NA,NA,100,NA,NA,100,1,0,0,0.43,0.523469245,Other,Self,1,Different,Community/Non-clincal,0.76,0.7,
5,Brouns et al. (2013),100,16.77,126,12.48,23,3.65,12.52,103,3.04,-0.004894568,empathy_cog,-0.004894607,0.008130081,NA,NA,100,NA,NA,100,1,0,0,0.43,-0.012670904,Other,Self,1,Different,Community/Non-clincal,0.76,0.7,
5,Brouns et al. (2013),0,16.61,107,11.75,16,3.97,12.5,91,2.82,-0.088470505,empathy_aff,-0.088702416,0.009615385,NA,NA,0,NA,NA,0,1,0,0,0.38,-0.249062247,Other,Self,1,Different,Community/Non-clincal,0.76,0.7,
6,Chabrol et al. (2011),39,16.7,972,NA,NA,NA,NA,NA,NA,-0.11,empathy_cog,-0.110446916,0.001031992,NA,NA,NA,NA,NA,NA,0,0,0,1.126232658,NA,Self,Self,0,Same,Community/Non-clincal,0.81,0.61,
7,Ciucci & Baroncelli (2014),53.3,12.7,529,NA,NA,NA,NA,NA,NA,-0.43,empathy_aff,-0.459896681,0.001901141,NA,NA,NA,NA,NA,NA,0,0,0,1.2,NA,Self,Self,0,Same,Community/Non-clincal,0.61,0.75,
7,Ciucci & Baroncelli (2014),53.3,12.7,529,NA,NA,NA,NA,NA,NA,-0.2,empathy_cog,-0.202732554,0.001901141,NA,NA,NA,NA,NA,NA,0,0,0,1.2,NA,Self,Self,0,Same,Community/Non-clincal,0.61,0.68,
8,Crapanzano et al. (2011),54.2,11.28,284,NA,NA,NA,NA,NA,NA,-0.306,prosocial,-0.316126175,0.003558719,NA,NA,NA,NA,NA,NA,0,0,0,1.82,NA,Self,Self,0,Same,Community/Non-clincal,0.59,0.9,
9,Dadds et al. (2009),0,7.79,1393,NA,NA,NA,NA,NA,NA,-0.17,empathy_aff,-0.171666664,0.000719424,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.83,
9,Dadds et al. (2009),0,7.79,1393,NA,NA,NA,NA,NA,NA,-0.41,empathy_cog,-0.435611223,0.000719424,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.62,
9,Dadds et al. (2009),0,7.79,1393,NA,NA,NA,NA,NA,NA,-0.581,empathy_tot,-0.663970959,0.000719424,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.81,
9,Dadds et al. (2009),100,7.79,1367,NA,NA,NA,NA,NA,NA,-0.02,empathy_aff,-0.020002667,0.000733138,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.83,
9,Dadds et al. (2009),100,7.79,1367,NA,NA,NA,NA,NA,NA,-0.39,empathy_cog,-0.411800034,0.000733138,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.62,
9,Dadds et al. (2009),100,7.79,1367,NA,NA,NA,NA,NA,NA,-0.46,empathy_tot,-0.497311288,0.000733138,NA,NA,NA,NA,NA,NA,1,1,0,3,NA,Other,Other,0,Same,Community/Non-clincal,0.79,0.81,
10,Dadds et al. (2012),24.4,10.52,195,NA,NA,NA,NA,NA,NA,-0.358,empathy_aff,-0.374590002,0.005208333,NA,NA,NA,NA,NA,NA,1,1,1,2.64,NA,Other,Other,0,Same,Referred/Clinical,0.8,NA,
10,Dadds et al. (2012),24.4,10.52,195,NA,NA,NA,NA,NA,NA,-0.4,empathy_cog,-0.42364893,0.005208333,NA,NA,NA,NA,NA,NA,1,1,1,2.64,NA,Other,Other,0,Same,Referred/Clinical,0.8,NA,
10,Dadds et al. (2012),24.4,10.52,195,NA,NA,NA,NA,NA,NA,-0.543,empathy_tot,-0.608400231,0.005208333,NA,NA,NA,NA,NA,NA,1,1,1,2.64,NA,Other,Other,0,Same,Referred/Clinical,0.52,0.69,
11,Dadds et al. (2014),45.44181818,5.501348485,55,4,16,1,8.62,39,1.43,-0.845978386,prosocial,-1.24183588,0.019230769,5.344166667,NA,37.5,5.565833333,NA,48.7,1,1,1,1.58,-3.493216641,Other,Other,0,Same,Referred/Clinical,0.835,NA,
12,Dolan & Rennie (2007),0,16.2,115,NA,NA,NA,NA,NA,NA,-0.11,empathy_tot,-0.110446916,0.008928571,NA,NA,NA,NA,NA,NA,0,0,1,0.88,NA,Self,Self,0,Same,Referred/Clinical,0.66,0.81,
13,Flight & Forth (2007),0,17.1,51,NA,NA,NA,NA,NA,NA,-0.55,empathy_tot,-0.618381314,0.020833333,NA,NA,NA,NA,NA,NA,0,0,0,0.88,NA,Self,Self,0,Same,Community/Non-clincal,0.5,0.84,
14,Foulkes et al. (2017),50,12.89,558,NA,NA,NA,NA,NA,NA,-0.37,prosocial,-0.3884231,0.001801802,NA,NA,NA,NA,NA,NA,0,0,0,1.18,NA,self,self,0,Same,community/Non-clincal,0.3,0.6,
15,Georgiou et al. (2018),49.1,4.73,167,NA,NA,NA,NA,NA,NA,-0.33,empathy_cog,-0.342828254,0.006097561,NA,NA,NA,NA,NA,NA,1,1,0,0.7,NA,other,other,0,Same,Community/Non-clincal,0.91,0.55,
15,Georgiou et al. (2018),49.1,4.73,167,NA,NA,NA,NA,NA,NA,-0.17,empathy_aff,-0.171666664,0.006097561,NA,NA,NA,NA,NA,NA,1,1,0,0.7,NA,other,other,0,Same,Community/Non-clincal,0.91,0.76,
15,Georgiou et al. (2018),49.1,4.73,167,NA,NA,NA,NA,NA,NA,-0.36,empathy_tot,-0.376885901,0.006097561,NA,NA,NA,NA,NA,NA,1,1,0,0.7,NA,other,other,0,Same,Community/Non-clincal,0.91,NA,
16,Gillen et al. (2018),34,15.24,144,NA,NA,NA,NA,NA,NA,-0.16,empathy_cog,-0.161386696,0.007092199,NA,NA,NA,NA,NA,NA,0,0,1,1.59,NA,self,self,0,same,referred/Clinical,NA,0.71,
