,Citation,Country,N,Mean age,% female,Type of sample,CU traits measure,CU traits respondent,Empathy measure,Prosocial,Guilt measure,Outcome respondent
1,"Aitken, Henry, and Andrade (2018)",Canada,304,9.25,33,Clinical,IOWA,Parent,,SDQ,,Parent
2,Anastassiou-Hadjicharalambous and Warden (2008),Scotland,66,9.36,4.55,Clinical,APSD,Parent & Teacher,BEI,,,Self
3,Andrade and Wade (2016),Canada,208,8.8,21.6,Clinical,3 ICU items,Parent & Teacher,,SDQ,,Parent
4,"Antoniadou, Kokkinos, and Markos (2016)",Greece,146,14.5,43,Community,YPI,Self,BES,,,Self
5,Brouns et al. (2013),Netherlands,233,16.7,54,Community,APSD,Parent,IRI,,,Self
6,"Chabrol, van Leeuwen, Rodgers, and Gibbs (2011)",France,972,16.7,39,Community,YPI,Self,IRI,,,Self
7,Ciucci and Baroncelli (2014),Italy,529,12.7,53.3,Community,ICU,Self,HIFDS,,,Self
8,"Crapanzano, Frick, Childs, and Terranova (2011)",USA,284,11.28,54.2,Community,APSD,Self,,CSBS,,Self
9,Dadds et al. (2009),Australia,2760,7.79,49.8,Community,APSD & SDQ,Parent,GEM,,,Parent
10,"Dadds, Cauchi, Wimalaweera, Hawes, and Brennan (2012)",Australia,195,10.52,24.4,Clinical,APSD & SDQ,Parent & Teacher,GEM,,,Parent
11,Dadds et al. (2014),England,55,5.5,45.44,Clinical,APSD & SDQ,Parent,,SDQ,,Parent
12,Dolan and Rennie (2007),England,115,16.2,0,Incarcerated,YPI,Self,IVE,,,Self
13,Flight and Forth (2007),Canada,51,17.1,0,Community,PCL:YC,Self,IRI,,,Self
14,"Foulkes, Neumann, Roberts, McCrory, and Viding (2017)",UK,558,12.89,50,Community ,APSD,Self,,,,Self
15,"Georgiou, Kimonis, and Fanti (2018)",Greece,167,4.73,49.1,Community,ICU,Parent & Teacher,GEM,,,Parent
16,Gillen et al. (2018),USA,144,15.24,34,Incarcerated,PCL:YV,Self,IRI,,,Self
17,Gostisha et al. (2014),USA,50,16.09,0,Incarcerated,ICU,Self,IRI,,,Self
18,Hawes and Dadds (2007),Australia,56,6.29,0,Clinical,APSD & SDQ,Parent,,SDQ,,Parent
19,Hawes et al. (2014),USA,150,8.99,0,Clinical,ICU,Parent,,SCS,,Parent
20,"Högström, Enebrink, and Ghaderi (2013)",Sweden,57,6.65,45.6,Community,APSD,Parent,,SDQ,,Parent
